User number,Q1: How many times a year do you do a DIY project?,Q2: About how much do you spend on home-improvement each year?,Q3: Do you plan to complete a DIY project that involves painting in the next year?,"Q4: If you answered yes to question 3, about how much do you plan to spend on indoor paint for the project?","Q5: If you answered yes to question 3, how likely are you to try an indoor paint offered by Meer-Kitty for your project?",Q6: What are your favorite indoor paint colors?
512,1-2,$101-$250,Yes,$51-$100,Very likely,purple
448,none,"$501-$1,000",Yes,Less than $50,Somewhat likely,Yellow
909,none,Less than $100,No,,,
710,none,"$501-$1,000",Yes,$51-$100,Unlikely,Blue
267,1-2,$101-$250,No,,,
935,1-2,Less than $100,Yes,Less than $50,Somewhat likely,"orange, rust, copper"
407,none,Less than $100,No,,,
884,1-2,$101-$250,Yes,$51-$100,Very likely,Green
401,7 or more,Less than $100,Yes,Less than $50,Very likely,Silver
507,none,"$501-$1,000",No,,,
113,none,$101-$250,No,,,
890,none,Less than $100,Yes,$101-$250,Somewhat likely,"tan, gray"
142,3-5,Less than $100,Yes,Less than $50,,lime
126,3-5,$101-$250,No,,,indigo
109,1-2,"$501-$1,000",No,,,pink
729,1-2,$251-$500,No,,,
724,1-2,"$501-$1,000",Yes,Less than $50,Somewhat likely,"green, blue"
303,none,Less than $100,Yes,$101-$250,Somewhat likely,purple
859,1-2,Less than $100,No,,,olive
655,1-2,"More than $1,000",No,,,maroon
175,3-5,$101-$250,Yes,Less than $50,Very likely,Navy
565,1-2,"$501-$1,000",,,,
302,1-2,$101-$250,No,,,purple
290,1-2,Less than $100,Yes,Less than $50,Somewhat likely,Yellow
