year,complaint_type,num_complaints
2014,DOT Literature Request,2165
2017,Violation of Park Rules,2163
2016,Vacant Lot,2161
2014,DCA / DOH New License Application Request,2157
2016,Street Sign - Dangling,2147
2013,Lead,2142
2017,Drug Activity,2137
2017,Street Sign - Dangling,2109
2014,Unsanitary Animal Pvt Property,2108
2014,Asbestos,2101
2017,Cable Complaint,2101
2012,Lead,2084
2016,Asbestos,2073
2013,Standing Water,2073
2010,Traffic,2066
2011,DOF Parking - Request Status,2055
2014,Vacant Lot,2048
2010,Vacant Lot,2047
2010,Boilers,2043
2010,School Maintenance,2042
2012,Asbestos,2029
2015,Vacant Lot,2028
2010,Animal in a Park,2009
2013,Illegal Tree Damage,2003
2013,Unsanitary Animal Pvt Property,1996
2011,School Maintenance,1994
2018,Dirty Conditions,1994
2010,Emergency Response Team (ERT),1989
2018,Sewer,1983
2018,Derelict Vehicle,1980
2010,Hazardous Materials,1979
2011,Asbestos,1977
2012,DHS Advantage -Landlord/Broker,1962
2011,Vacant Lot,1957
2018,Water Conservation,1955
2017,Derelict Bicycle,1952
2014,Lead,1944
2011,Hazardous Materials,1937
2018,GENERAL,1935
2010,Illegal Tree Damage,1935
2013,Boilers,1929
2017,Broken Parking Meter,1928
2013,Housing Options,1927
2012,DOF Parking - Request Status,1916
2014,Violation of Park Rules,1908
2010,Smoking,1894
2014,Homeless Person Assistance,1887
2017,Housing Options,1886
2016,Animal in a Park,1877
2015,Street Sign - Dangling,1868
2015,Violation of Park Rules,1861
2017,DOF Property - Owner Issue,1854
2014,Housing Options,1852
2016,DPR Internal,1843
2013,Asbestos,1842
2011,Homeless Encampment,1839
2015,Animal in a Park,1838
2015,Housing Options,1838
2011,Boilers,1838
2017,DCA / DOH New License Application Request,1836
2010,Asbestos,1827
2011,Smoking,1818
2017,Animal in a Park,1816
2010,DOF Parking - Request Copy,1812
2012,Housing Options,1809
2015,DCA / DOH New License Application Request,1807
2017,Asbestos,1806
2016,DCA / DOH New License Application Request,1806
2010,Homeless Encampment,1787
2016,Boilers,1771
2013,Street Sign - Dangling,1769
2016,Derelict Bicycle,1768
2011,Housing Options,1762
2016,Housing Options,1759
2011,Sweeping/Missed-Inadequate,1755
2014,Smoking,1752
2016,School Maintenance,1748
2012,Smoking,1748
2015,Smoking,1737
2017,DPR Internal,1723
2012,Boilers,1721
2016,DOF Property - Owner Issue,1717
2012,Violation of Park Rules,1709
2018,Sanitation Condition,1699
2010,Industrial Waste,1691
2015,OUTSIDE BUILDING,1682
2011,Violation of Park Rules,1681
2012,Industrial Waste,1674
2014,Street Sign - Dangling,1652
2015,DPR Internal,1648
2010,Investigations and Discipline (IAD),1646
2018,FLOORING/STAIRS,1639
2012,Street Sign - Dangling,1636
2015,School Maintenance,1636
2014,Boilers,1635
2011,Illegal Tree Damage,1634
2016,Smoking,1624
2015,Standing Water,1617
2012,Animal in a Park,1617
2011,Animal in a Park,1614
2018,Derelict Vehicles,1586
2012,Investigations and Discipline (IAD),1585
2015,Curb Condition,1584
2012,Illegal Tree Damage,1582
2013,Smoking,1578
2010,OEM Disabled Vehicle,1569
2018,Building/Use,1569
2014,Sweeping/Missed,1566
2014,Non-Residential Heat,1566
2015,Overflowing Litter Baskets,1563
2011,Street Sign - Dangling,1557
2018,General Construction/Plumbing,1552
2017,Boilers,1539
2017,Water Quality,1535
2016,Drinking,1533
2011,Industrial Waste,1525
2013,Industrial Waste,1507
2015,Noise - Helicopter,1505
2017,Drinking,1503
2010,Overflowing Litter Baskets,1503
2010,Violation of Park Rules,1497
2011,Investigations and Discipline (IAD),1487
2014,School Maintenance,1483
2013,Animal in a Park,1481
2017,Industrial Waste,1478
2015,Industrial Waste,1473
2016,Water Quality,1449
2018,Homeless Person Assistance,1446
2013,DOF Parking - Request Status,1443
2013,Sweeping/Missed-Inadequate,1441
2010,Window Guard,1431
2014,DPR Internal,1417
2014,Indoor Sewage,1414
2014,OUTSIDE BUILDING,1411
2015,Boilers,1410
2015,Drinking,1409
2013,Non-Residential Heat,1408
2011,CONSTRUCTION,1405
2016,Industrial Waste,1402
2018,Rodent,1397
2014,Agency Issues,1389
2014,Industrial Waste,1383
2011,Overflowing Litter Baskets,1356
2012,School Maintenance,1355
2015,Sweeping/Missed,1348
2015,Non-Residential Heat,1342
2012,Sweeping/Missed-Inadequate,1337
2013,Drinking,1332
2010,Drinking,1325
2013,Violation of Park Rules,1317
2010,CONSTRUCTION,1312
2013,School Maintenance,1306
2017,Request Xmas Tree Collection,1301
2017,DRIE,1299
2010,DOF Parking - Request Status,1295
2013,EAP Inspection - F59,1292
2014,Noise - Helicopter,1290
2010,Recycling Enforcement,1289
2010,Street Sign - Dangling,1288
2013,GENERAL,1283
2014,Animal in a Park,1283
2013,DOF Parking - Request Copy,1282
2015,Derelict Bicycle,1281
2011,Noise - Helicopter,1280
2017,ELEVATOR,1278
2017,OUTSIDE BUILDING,1273
2011,DOF Parking - Request Copy,1272
2013,BEST/Site Safety,1267
2016,Indoor Sewage,1247
2012,DOF Parking - Request Copy,1241
2011,Drinking,1240
2014,EAP Inspection - F59,1235
2015,Water Quality,1232
2012,Public Payphone Complaint,1230
2013,Overflowing Litter Baskets,1225
2010,Home Repair,1219
2012,EAP Inspection - F59,1218
2010,Disorderly Youth,1217
2014,Derelict Bicycle,1212
2015,Indoor Sewage,1209
2018,Missed Collection (All Materials),1207
2012,DOT Literature Request,1207
2010,Sweeping/Missed-Inadequate,1200
2013,Indoor Sewage,1189
2014,Water Quality,1186
2012,Drinking,1178
2013,Water Quality,1174
2011,Noise - House of Worship,1172
2012,Overflowing Litter Baskets,1164
2010,Non-Residential Heat,1156
2011,Public Payphone Complaint,1148
2016,Overflowing Litter Baskets,1146
2010,Unleashed Dog,1145
2017,Indoor Sewage,1144
2011,Fire Safety Director - F58,1127
2014,Drinking,1125
2011,Home Repair,1119
2016,Non-Residential Heat,1119
2017,Non-Residential Heat,1118
2018,Graffiti,1117
2010,Public Payphone Complaint,1115
2010,Noise - House of Worship,1112
2017,DOF Parking - Tax Exemption,1101
2016,Posting Advertisement,1100
2016,OUTSIDE BUILDING,1098
2014,Curb Condition,1095
2015,ELEVATOR,1095
2016,DOF Parking - Tax Exemption,1095
2014,Request for Information,1090
2012,Water Quality,1088
2014,Overflowing Litter Baskets,1087
2017,Overflowing Litter Baskets,1085
2015,EAP Inspection - F59,1076
2010,Elder Abuse,1071
2015,Noise - House of Worship,1070
2013,Curb Condition,1069
2016,Cable Complaint,1066
2013,Investigations and Discipline (IAD),1065
2012,CONSTRUCTION,1064
2017,Noise - Helicopter,1063
2014,DOF Parking - Request Copy,1035
2013,CONSTRUCTION,1033
2010,BEST/Site Safety,1028
2018,Noise - Street/Sidewalk,1025
2014,DCA Literature Request,1024
2014,Noise - House of Worship,1021
2011,Unleashed Dog,1021
2016,Noise - Helicopter,1013
2012,Noise - House of Worship,1002
2018,APPLIANCE,993
2013,Noise - House of Worship,992
2016,Broken Parking Meter,987
2015,Recycling Enforcement,985
2012,Non-Residential Heat,974
2017,Sweeping/Missed,973
2011,Recycling Enforcement,973
2016,ELEVATOR,967
2011,Window Guard,967
2016,Mosquitoes,965
2012,Indoor Sewage,960
2012,BEST/Site Safety,947
2018,DOF Property - Reduction Issue,943
2015,DOF Parking - Tax Exemption,936
2012,Recycling Enforcement,934
2018,Noise - Vehicle,925
2010,DOF Property - RPIE Issue,922
2016,Noise - House of Worship,921
2018,Electronics Waste,920
2014,DOF Parking - Request Status,917
2012,Home Repair,915
2011,Disorderly Youth,909
2011,BEST/Site Safety,908
2017,Noise - House of Worship,906
2011,Non-Residential Heat,901
2018,Consumer Complaint,897
2013,Taxi Compliment,895
2013,PAINT/PLASTER,891
2010,Water Quality,884
