id,name,rating,address,city,lat-long
96,teaone-san-francisco-5,3.5,5336 Geary Blvd,      San Francisco,37.78076-122.47679
97,fifty-fifty-coffee-and-tea-san-francisco,4,3157 Geary Blvd,      San Francisco,37.7814292999999-122.4529495
98,honey-creme-and-tea-san-francisco,3.5,839 Irving St,      San Francisco,37.76384-122.46708
99,bambu-san-francisco-3,4,6050 Geary Blvd,      San Francisco,37.7804-122.48458
100,i-tea-oakland,4,388 9th St,      Oakland,37.8006135940992-122.270676903426
101,mr-green-bubble-oakland,3.5,4299 Piedmont Ave,      Oakland,37.828969-122.249297
102,t-and-bowl-oakland,4,901 Franklin St,      Oakland,37.8004753999999-122.2722423
103,u-cha-berkeley,4,2199 Bancroft Way,      Berkeley,37.8678697054593-122.266082279384
104,the-sweet-booth-oakland,4,388 9th St,      Oakland,37.8004455566406-122.271835327148
105,asha-tea-house-berkeley,4,2086 University Ave,      Berkeley,37.8719582-122.268859
106,i-tea-alameda,4,1626 Park St,      Alameda,37.7673552038867-122.240029983222
107,t4-oakland,3,1068 Webster St,      Oakland,37.8009841-122.2700858
108,wing-man-oakland-3,4,5295 College Ave,      Oakland,37.83818-122.25168
109,sharetea-berkeley,4,2440 Bancroft Way,      Berkeley,37.8684064-122.260511299999
110,happy-lemon-berkeley-berkeley,4,2106 Shattuck Ave,      Berkeley,37.87087-122.26857
111,milk-tea-lab-pleasant-hill,4,1972 Contra Costa Blvd,      Pleasant Hill,37.9485708483184-122.058178750759
112,boba-ninja-berkeley,4,2519B Durant Ave,      Berkeley,37.86821-122.25803
113,sharetea-alameda-4,3.5,2670 5th St,      Alameda,37.7867215-122.281344699999
114,purple-kow-berkeley-2,3.5,2164 Center St,      Berkeley,37.8704335-122.266269299999
115,teaway-alameda,3.5,2402 Central Ave,      Alameda,37.76394-122.24266
116,i-tea-walnut-creek-3,4,1245 N Broadway,      Walnut Creek,37.8981318936801-122.059291005135
117,sweetheart-cafe-oakland,3.5,315 9th St,      Oakland,37.7994484-122.270096799999
118,gelato-firenze-and-qtea-bar-oakland,4,478 Lake Park Ave,      Oakland,37.81106-122.24718
119,tea-delight-alameda-2,4,650 Central Ave,      Alameda,37.770820099746-122.277515907933
120,quickly-oakland-4,4.5,1243 33rd Ave,      Oakland,37.7765099-122.2250587
121,i-tea-san-leandro-2,4,177 Pelton Ctr Way,      San Leandro,37.72272-122.154389999999
122,50-tea-oakland,3.5,1004 Webster St,      Oakland,37.8007358-122.270182
123,tea-press-berkeley-2,4,2552 Bancroft Way,      Berkeley,37.86864-122.257789999999
124,taiwan-bento-oakland-4,4,412 22nd St,      Oakland,37.81097-122.26651
125,u-tea-cafe-oakland,3,1728 A Franklin St,      Oakland,37.8064126521349-122.268292084336
126,t4-alameda-2,3.5,1431 A Park St,      Alameda,37.76509-122.24233
127,teazzert-alameda,3.5,1342 Park St,      Alameda,37.7635299999999-122.243189999999
128,qteabar-oakland,5,478 Lake Park Ave,      Oakland,37.8110686341717-122.24723573774
129,the-burrow-brisbane-4,4.5,109 Visitacion,      Brisbane,37.6834642-122.4028888
130,sweet-belly-oakland,4.5,435 19th St,      Oakland,37.8076094805534-122.268880033234
131,sancha-bar-oakland-3,2.5,251 9th St,      Oakland,37.7989615787538-122.268823823837
132,alice-street-bakery-café-oakland-2,4.5,251 10th St,      Oakland,37.7996292114257-122.268371582031
133,t4-san-leandro,7.4,1443 E 14th St,      San Leandro,37.723825-122.154662999999
134,quickly-oakland-5,3.5,3306 Lakeshore Ave,      Oakland,37.8106217795691-122.243926227092
135,bubble-tea-share-time-berkeley,4,1938 Shattuck Ave,      Berkeley,37.8731630455033-122.268577069044
136,shooting-star-cafe-oakland,3.5,1022 Webster St,      Oakland,37.800992-122.2701305
137,pekoe-san-jose,4,3276 S White Rd,      San Jose,37.3145584994998-121.790188997984
138,tea-lyfe-drinks-san-jose-3,4,989 Story Rd,      San Jose,37.3323443189417-121.857742217231
139,teahee-san-jose,4,979 Story Rd,      San Jose,37.3311487640944-121.85737667523
140,boba-pub-san-jose,4,1576 Branham Ln,      San Jose,37.25336-121.9015
141,teaspoon-san-jose-2,4,4328 Moorpark Ave,      San Jose,37.3157651-121.9782757
142,passion-t-snacks-and-desserts-san-jose,4,2266 Senter Rd,      San Jose,37.3105198999999-121.84997
143,pop-up-tea-coffee-and-snacks-san-jose,4,185 Branham Ln,      San Jose,37.267032623291-121.834053039551
144,happy-lemon-san-jose-5,4.5,3005 Silver Creek Rd,      San Jose,37.308647-121.813461
145,boba-bar-san-jose-3,3.5,310 S 3rd St,      San Jose,37.332404-121.8845467
146,sinceretea-san-jose-2,4,392 E Taylor St,      San Jose,37.3529398999999-121.89176
147,bobateani-san-jose,5,75 E Santa Clara St,      San Jose,37.33709-121.88941
148,soyful-desserts-san-jose-2,4,999 Story Rd,      San Jose,37.3319875706985-121.856774212303
149,one-tea-san-jose-4,4,231 E Santa Clara St,      San Jose,37.338629553452-121.885706819594
150,i-tea-san-jose,4,2936 Aborn Square Rd,      San Jose,37.3122516785924-121.809769305956
151,the-tea-zone-and-fruit-bar-san-jose,3.5,980 S Winchester Blvd,      San Jose,37.309534-121.949649
152,createave-cafe-san-jose-4,4,1698 Hostetter Rd,      San Jose,37.3869800203948-121.883576139808
153,tleaf-teapresso-san-jose-3,4,860 Blossom Hill Rd,      San Jose,37.2486885993529-121.857970789389
154,katea-san-jose,4.5,5700 Village Oaks Dr,      San Jose,37.2525198999999-121.8501
155,teatop-san-jose-2,4,6158 Bollinger Rd,      San Jose,37.3086570138301-122.012592169713
156,bubbly-san-jose-4,4,1816 Tully Rd,      San Jose,37.32229-121.82405
157,vampire-penguin-featuring-jastea-san-jose,4,2671 Cropley Ave,      San Jose,37.4041770427227-121.881933087311
158,simply-boba-san-jose,4,3005 Silver Creek Rd,      San Jose,37.3088546673824-121.813202547221
159,happy-lemon-cupertino,4.5,20488 Stevens Creek Blvd,      Cupertino,37.32258-122.03121
160,amor-cafe-and-tea-san-jose,5.4,110 E San Fernando St,      San Jose,37.3354549999999-121.886596
161,shincha-tea-san-jose-3,4,2487 Alvin Ave,      San Jose,37.3191772792232-121.827041554832
162,sharetea-santa-clara-3,4,1171 Homestead Rd,      Santa Clara,37.3486599999999-121.94616
163,chatime-san-jose-san-jose-3,4,311 N Capitol Ave,      San Jose,37.3697020772431-121.845367355225
164,pure-tea-bar-san-jose,3.5,6195 Santa Teresa Blvd,      San Jose,37.236431-121.804763
165,t-spot-boba-drinks-and-snacks-san-jose,4,2520 Berryessa Rd,      San Jose,37.3879799-121.8588819
166,meow-tea-san-jose,4,2857 Senter Rd,      San Jose,37.29956-121.84016
167,fantasia-coffee-and-tea-san-jose-4,3.5,378 Santana Row,      San Jose,37.319475621662-121.94762103391
168,monster-boba-cupertino-3,3.5,10787 S Blaney Ave,      Cupertino,37.3112882127292-122.023623995482
169,teasociety-san-jose,3.5,1658 E Capitol Expy,      San Jose,37.306154683674-121.810519318524
170,bfresh-snacks-and-drinks-san-jose,4,3005 Silver Creek Rd,      San Jose,37.3086471557617-121.813461303711
171,beibay-tea-san-jose,4,1180 Blossom Hill Rd,      San Jose,37.2497081431029-121.879286774857
172,gong-cha-san-jose-19,3.5,1701 Lundy Ave,      San Jose,37.38753-121.88725
173,sweet-gelato-tea-lounge-san-jose,4.5,979 Story Rd,      San Jose,37.3313361147367-121.857381949738
174,sharetea-san-jose-3,3.5,1728 Hostetter Rd,      San Jose,37.387508-121.882934
175,gong-cha-san-jose-8,3.5,1600 Saratoga Ave,      San Jose,37.2923420099239-121.988744415863
176,soyful-desserts-san-jose-8,4,3005 Silver Creek Rd,      San Jose,37.3090745900201-121.814426575475
177,oooh-san-jose-4,4,1783 E Capitol Expwy,      San Jose,37.309508-121.809918
178,the-tea-zone-lounge-san-jose,4,403 N Capitol Ave,      San Jose,37.3720189850199-121.846125258572
179,the-moo-bar-santa-clara,3.5,1080 Kiely Blvd,      Santa Clara,37.3459400429099-121.979151964188
180,tapioca-express-san-jose-8,4,81 Curtner Ave,      San Jose,37.3030374782512-121.864601250072
181,purple-kow-san-jose-4,3.5,2435 S King Rd,      San Jose,37.3210352284759-121.825406030688
182,heritage-eats-napa,4.5,3824 Bel Aire Plz,      Napa,38.32387-122.30711
183,yobelle-napa-2,3.5,1000 Main St,      Napa,38.2991692041736-122.285283794503
184,morimoto-napa-napa,4,610 Main St,      Napa,38.29671-122.28328
185,napa-noodles-napa,3,1124 1st St,      Napa,38.2988340542314-122.286458685993
186,crave-cafe-and-catering-american-canyon,3.5,3419 Broadway St,      American Canyon,38.1689755277082-122.254305819574
187,quickly-american-canyon-3,2.5,410 Napa Junction Rd,      American Canyon,38.1848877668381-122.253697514533
188,top-that-frozen-yogurt-sonoma,3.5,531 Broadway Ave,      Sonoma,38.2914143800735-122.458058372139
189,over-the-top-shop-frozen-yogurt-american-canyon,2.5,5075 Main St,      American Canyon,38.18098-122.25395
190,sushi-grill-vallejo,4,5184 Sonoma Blvd,      Vallejo,38.1480882615897-122.252996214118
191,palm-thai-bistro-fairfield,4.5,5089 Business Center Dr,      Fairfield,38.215523-122.143181
192,green-bamboo-restaurant-fairfield,3.5,4437 Central Pl,      Fairfield,38.2219398999999-122.12513
193,thai-kitchen-american-canyon,3.5,3425 Broadway St,      American Canyon,38.17015-122.25411
194,sactomofo-sacramento-6,3.5,,      Sacramento,38.67463-121.50861
195,westea-pleasanton,4,4233 Rosewood Dr,      Pleasanton,37.6983805506637-121.874124370515
196,baotea-cafe-pleasanton-2,4.5,6654 Koll Center Pkwy,      Pleasanton,37.658818-121.898176
197,i-tea-dublin-dublin,4,4064 Grafton St,      Dublin,37.7031989556317-121.865862095172
198,aroma-tapioca-tea-and-coffee-pleasanton,3.5,4833 Hopyard Rd,      Pleasanton,37.69288-121.90177
199,i-tea-pleasanton,4,915 Main St,      Pleasanton,37.6659098999999-121.87418
200,t4-dublin,3.5,3744 Fallon Rd,      Dublin,37.7038018033117-121.851168151661
201,tea-factory-dublin-2,4,8945 San Ramon Rd,      Dublin,37.7222341-121.9419009
202,icicles-pleasanton,4,600 Main St,      Pleasanton,37.661346-121.87506
203,sharetea-dublin-3,4,7375 Amador Valley Blvd,      Dublin,37.7103898999999-121.927439999999
204,cafe-tapioca-dublin,3.5,7160 Regional St,      Dublin,37.703959-121.9342246
205,quickly-pleasanton,3.5,1 Stoneridge Mall Rd,      Pleasanton,37.6956544405508-121.929317861795
206,letea-pleasanton-2,2.5,4299 Rosewood Dr,      Pleasanton,37.69956-121.87326
207,tea-breeze-pleasanton,3,4275 Rosewood Dr,      Pleasanton,37.6994819641112-121.874084472656
208,360-crepes-pleasanton-3,4,3120 Santa Rita Rd,      Pleasanton,37.6905054-121.8774678
209,t4-san-ramon-2,3.5,9140 Alcosta Blvd,      San Ramon,37.73021-121.930089999999
210,i-tea-san-ramon-3,4,21001 San Ramon Valley Blvd,      San Ramon,37.7241-121.94435
211,snowflake-dublin,3.5,4288 Dublin Blvd,      Dublin,37.7048059696965-121.875150612505
212,quickly-dublin,2.5,4288 Dublin Blvd,      Dublin,37.705825-121.876084
213,cafe-taiwan-pleasanton-9,4,3550 Stanley Blvd,      Pleasanton,37.669658-121.858772
214,cafe-junction-pleasanton-3,4,5321 Hopyard Rd,      Pleasanton,37.6994-121.9048344
215,o-honey-dublin,4,3862 Fallon Rd,      Dublin,37.7049564521021-121.851537924141
216,the-mix-creamery-dublin-2,4,6601 Dublin Blvd,      Dublin,37.7043802396398-121.911554932594
217,tasty-pot-dublin,4,4288 Dublin Blvd,      Dublin,37.704566-121.87545
218,ohana-hawaiian-bbq-of-pleasanton-pleasanton,5.7,5410 Sunol Blvd,      Pleasanton,37.6522299999999-121.8786
219,99-ranch-market-pleasanton,3.5,4299 Rosewood Dr,      Pleasanton,37.69956-121.87326
220,menchies-frozen-yogurt-dublin,4,3742 Fallon Rd,      Dublin,37.7037210589332-121.851480491459
221,blossom-bee-dublin,4,7335 Village Pkwy,      Dublin,37.710858467095-121.926419734955
222,berry-delight-pleasanton,3,1008 Stoneridge Mall Rd,      Pleasanton,37.6946294-121.931562999999
223,new-thai-bistro-pleasanton-2,4.5,4301 D Valley Ave,      Pleasanton,37.67718-121.87578
224,tutti-frutti-frozen-yogurt-dublin,3,4930 Dublin Blvd,      Dublin,37.7040256307881-121.88532839154
225,kee-wah-bakery-dublin,4,4288 Dublin Blvd,      Dublin,37.7045783996582-121.875808715819
226,blush-organic-frozen-yogurt-dublin,4,4640 Tassajara Rd,      Dublin,37.7080099999999-121.8731
227,koi-palace-dublin,3.5,Ulferts Ctr,      Dublin,37.7046367482137-121.876026391982
228,berry-and-berry-yogurt-livermore,2.5,2774 Livermore Outlets Dr,      Livermore,37.698050737381-121.842248663306
229,pho-saigon-city-pleasanton,3,4275 Rosewood Dr,      Pleasanton,37.6994626368417-121.873857490718
230,yogurtland-dublin,4,6851 Amador Plz Rd,      Dublin,37.70584-121.927089999999
231,lees-sandwiches-dublin-2,3.5,4101 Dublin Blvd,      Dublin,37.70619-121.873789999999
232,osaka-ramen-dublin,3,4288 Dublin Blvd,      Dublin,37.70515-121.876219999999
233,pho-99-dublin-5,4,7459 Amador Valley Blvd,      Dublin,37.710269-121.92861
234,tandoori-pizza-dublin,4,4060 Grafton St,      Dublin,37.7031417208061-121.866024709375
235,halu-shabu-shabu-dublin,3,4288 Dublin Blvd,      Dublin,37.7045669555664-121.875450134277
236,amakara-dublin,4,7222 Regional St,      Dublin,37.7050599999999-121.934869999999
237,pho-saigon-garden-dublin,3.5,7265 Regional St,      Dublin,37.7056511022749-121.933658346534
238,pho-saigon-noodle-house-san-ramon,3.5,9150 Alcosta Blvd,      San Ramon,37.7293891906737-121.931442260742
239,85-c-bakery-cafe-newark,3.5,35201 Newark Blvd,      Newark,37.54772-122.0466
240,blackball-desserts-union-city-union-city,3.5,34563 Alvarado Niles Rd,      Union City,37.5866447999999-122.0201868
241,tasty-pot-newark,4,34909 Newark Blvd,      Newark,37.5508-122.0509
242,icicles-newark,4,39055 Cedar Blvd,      Newark,37.52314-122.00792
243,che-lo-union-city-2,9.2,1767 Decoto Blvd,      Union City,37.5895628278523-122.022492714298
244,fusion-mix-frozen-yogurt-fremont-2,4.5,4144 Walnut Ave,      Fremont,37.5436017856673-121.984061099299
245,crepe-bar-newark,4,2078 Newpark Mall,      Newark,37.5282307999999-122.000245799999
246,q-cup-fremont,3,39129 Fremont Blvd,      Fremont,37.5461699480404-121.987401525697
247,bambu-newark-2,3.5,6058 Mowry Ave,      Newark,37.5236587144356-122.007144735602
248,bambu-union-city-2,3.5,31812-31822 Alvarado Blvd,      Union City,37.5914603130932-122.071111434568
249,storm-crepes-newark,4.5,39658 Cedar Blvd,      Newark,37.5218169879729-121.997366492815
250,sweet-orchid-fremont,4.5,34460 Fremont Blvd,      Fremont,37.5751187606321-122.038859706704
251,jenjons-cafe-union-city,4,1704 Decoto Rd,      Union City,37.589058513675-122.01876368886
252,k-pop-cafe-fremont,4,35041 Fremont Blvd,      Fremont,37.570362-122.0318791
253,milkcow-fremont-2,3.5,5657 Auto Mall Pkwy,      Fremont,37.50466-121.97634
254,boba-guys-san-carlos-2,4,872 Laurel St,      San Carlos,37.5027402543983-122.256980158539
255,teaquation-redwood-city,4.5,1036 El Camino Real,      Redwood City,37.4839509441577-122.232653501548
256,t4-hayward-3,3.5,1033 B St,      Hayward,37.6731435370977-122.082034402975
257,sweet-spot-castro-valley,4.5,20669 Santa Maria Ave,      Castro Valley,37.6960964188897-122.078565023838
258,teaster-hayward-2,3.5,410 W A St,      Hayward,37.6660188062353-122.108395027727
259,sharetea-palo-alto-2,4,540 Bryant St,      Palo Alto,37.445381-122.160993999999
260,chatime-redwood-city-2,4,2202 Broadway St,      Redwood City,37.487118-122.229624
261,eko-coffee-bar-and-tea-house-hayward,4,1075 B St,      Hayward,37.6737070083617-122.081397101283
262,tea-era-cupertino,4,20916 Homestead Rd,      Cupertino,37.3371504153713-122.040352492869
263,fantasia-coffee-and-tea-cupertino,4,10933 N Wolfe Rd,      Cupertino,37.3361159244324-122.015890307528
264,tpumps-cupertino,3.5,19959 Stevens Creek Blvd,      Cupertino,37.3232384288673-122.022949657147
265,super-cue-cafe-cupertino,3.5,19620 Stevens Creek Blvd,      Cupertino,37.3223942970538-122.016749576721
266,happy-lemon-cupertino-5,4.5,10963 N Wolfe Rd,      Cupertino,37.3362175002018-122.015137771311
267,ten-ren-tea-cupertino,4,10881 N Wolfe Rd,      Cupertino,37.3356484303065-122.014956682871
268,meet-fresh-cupertino,3,19449 Stevens Creek Blvd,      Cupertino,37.3243651-122.0105533
269,hechaa-cupertino-4,3.5,10619 S De Anza Blvd,      Cupertino,37.31361-122.03263
270,calibear-cyber-cafe-sunnyvale-6,4.5,1336 S Mary Ave,      Sunnyvale,37.35065-122.049619999999
271,happy-lemon-sunnyvale-2,6.2,605 E El Camino Real,      Sunnyvale,37.36189-122.024539999999
272,what8ver-express-cupertino-2,3.5,10118 Bandley Dr,      Cupertino,37.324498742943-122.03407823789
273,gong-cha-sunnyvale,4.5,1641 Hollenbeck Ave,      Sunnyvale,37.33929-122.04255
274,cafe-lattea-cupertino,3.5,19501 Stevens Creek Blvd,      Cupertino,37.323241317778-122.012261466162
275,t4-cupertino-cupertino,4,19505 Stevens Creek Blvd,      Cupertino,37.32328-122.01283
276,sharetea-sunnyvale-3,4,568 El Camino Real,      Sunnyvale,37.3623572836214-122.027256087022
277,tea-chansii-cupertino,3,19449 Stevens Creek Blvd,      Cupertino,37.3243989340148-122.011138269321
278,verde-tea-house-cupertino-2,3.5,10477 S De Anza Blvd,      Cupertino,37.3162384033203-122.032508850098
279,bubble-tea-time-saratoga,4,18564 Prospect Rd,      Saratoga,37.29165-121.99636
280,the-tea-zone-and-fruit-bar-mountain-view,4.5,805 El Camino Real,      Mountain View,37.38565-122.08442
281,teaspoon-santa-clara-7,4,3450 El Camino Real,      Santa Clara,37.3519877135188-121.991230201809
282,beastea-santa-clara,4,2785 El Camino Real,      Santa Clara,37.35297-121.97705
283,teaspoon-mountain-view,3.5,236 Castro St,      Mountain View,37.3934799-122.07956
284,tea-annie-mountain-view,4,1712 Miramonte Ave,      Mountain View,37.3723-122.08801
