make,fuel_type,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,compression_ratio,horsepower,city_mpg,highway_mpg,price
mazda,gas,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,9,68,31,38,6795
mazda,gas,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,9,68,31,38,7395
mazda,gas,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,9,68,30,31,5195
honda,gas,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,9.6,58,49,54,6479
toyota,gas,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,four,92,2bbl,9,62,31,38,6338
toyota,gas,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,four,92,2bbl,9,62,27,32,8778
toyota,gas,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,four,92,2bbl,9,62,35,39,5348
toyota,gas,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,four,92,2bbl,9,62,31,38,6488
toyota,gas,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,four,92,2bbl,9,62,31,37,6918
toyota,gas,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,four,92,2bbl,9,62,27,32,7898
mitsubishi,gas,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,9.4,68,31,38,6669
mitsubishi,gas,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,9.4,68,31,38,6189
mitsubishi,gas,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,four,92,2bbl,9.4,68,37,41,5389
honda,gas,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,9.2,76,30,34,7295
honda,gas,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,9.2,76,31,38,6855
honda,gas,two,hatchback,fwd,front,93.7,150,64,52.6,1940,ohc,four,92,1bbl,9.2,76,30,34,6529
honda,gas,four,sedan,fwd,front,96.5,163.4,64,54.5,2010,ohc,four,92,1bbl,9.2,76,30,34,7295
honda,gas,two,hatchback,fwd,front,93.7,150,64,52.6,1956,ohc,four,92,1bbl,9.2,76,30,34,7129
volkswagen,diesel,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,four,97,idi,23,52,37,46,7995
volkswagen,diesel,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,ohc,four,97,idi,23,52,37,46,7775
volkswagen,diesel,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,ohc,four,97,idi,23,68,33,38,13845
volkswagen,diesel,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,ohc,four,97,idi,23,68,37,42,9495
nissan,gas,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,9.4,69,31,37,6649
nissan,gas,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,9.4,69,31,37,7349
nissan,gas,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,9.4,69,31,37,5499
nissan,gas,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,9.4,69,31,37,6849
nissan,gas,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,9.4,69,31,37,7499
nissan,gas,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,9.4,69,31,37,7999
subaru,gas,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,four,97,2bbl,9,69,31,36,5118
nissan,gas,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,9.4,69,31,37,7799
nissan,gas,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,9.4,69,31,37,8249
nissan,gas,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,9.4,69,31,37,7299
plymouth,gas,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,four,98,2bbl,9.4,68,31,38,7609
toyota,gas,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,four,98,2bbl,9,70,28,34,9258
toyota,gas,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,four,98,2bbl,9,70,28,34,8358
toyota,gas,four,sedan,fwd,front,95.7,166.3,64.4,53,2081,ohc,four,98,2bbl,9,70,30,37,6938
toyota,gas,two,hatchback,rwd,front,94.5,168.7,64,52.6,2204,ohc,four,98,2bbl,9,70,29,34,8238
toyota,gas,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,four,98,2bbl,9,70,30,37,7198
toyota,gas,four,sedan,fwd,front,95.7,166.3,64.4,53,2094,ohc,four,98,2bbl,9,70,38,47,7738
toyota,gas,two,sedan,rwd,front,94.5,168.7,64,52.6,2169,ohc,four,98,2bbl,9,70,29,34,8058
plymouth,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,spdi,7.6,102,24,30,7957
mitsubishi,gas,two,hatchback,fwd,front,93,157.3,63.8,50.8,2145,ohc,four,98,spdi,7.6,102,24,30,7689
dodge,gas,,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,7.6,102,24,30,8558
dodge,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,7.6,102,24,30,7957
toyota,gas,two,hatchback,rwd,front,94.5,168.7,64,52.6,2300,dohc,four,98,mpfi,9.4,112,26,29,9538
toyota,gas,two,sedan,rwd,front,94.5,168.7,64,52.6,2265,dohc,four,98,mpfi,9.4,112,26,29,9298
nissan,diesel,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,21.9,55,45,50,7099
subaru,gas,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,four,108,2bbl,8.7,73,26,31,7053
subaru,gas,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,four,108,2bbl,8.7,73,26,31,7603
subaru,gas,four,sedan,4wd,front,97,172,65.4,54.3,2385,ohcf,four,108,2bbl,9,82,24,25,9233
subaru,gas,four,sedan,fwd,front,97.2,172,65.4,52.5,2145,ohcf,four,108,2bbl,9.5,82,32,37,7126
subaru,gas,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,four,108,2bbl,9,82,23,29,8013
subaru,gas,four,sedan,fwd,front,97.2,172,65.4,52.5,2190,ohcf,four,108,2bbl,9.5,82,28,33,7775
subaru,gas,four,wagon,fwd,front,97,173.5,65.4,53,2290,ohcf,four,108,2bbl,9,82,28,32,7463
subaru,gas,four,sedan,fwd,front,97.2,172,65.4,52.5,2340,ohcf,four,108,mpfi,9,94,26,32,9960
subaru,gas,four,wagon,fwd,front,97,173.5,65.4,53,2455,ohcf,four,108,mpfi,9,94,25,31,10198
bmw,gas,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,8.8,101,23,29,16430
bmw,gas,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,8.8,101,23,29,16925
subaru,gas,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,four,108,mpfi,7.7,111,23,23,11694
subaru,gas,four,sedan,4wd,front,97,172,65.4,54.3,2510,ohcf,four,108,mpfi,7.7,111,24,29,11259
volkswagen,gas,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,ohc,four,109,mpfi,9,85,27,34,8195
volkswagen,gas,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,ohc,four,109,mpfi,9,85,27,34,8495
volkswagen,gas,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,ohc,four,109,mpfi,9,85,27,34,7975
volkswagen,gas,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,ohc,four,109,mpfi,9,88,25,31,12290
volkswagen,gas,two,hatchback,fwd,front,94.5,165.7,64,51.4,2221,ohc,four,109,mpfi,8.5,90,24,29,9980
volkswagen,gas,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,ohc,four,109,mpfi,8.5,90,24,29,11595
volkswagen,gas,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,ohc,four,109,mpfi,10,100,26,32,9995
toyota,diesel,four,sedan,fwd,front,95.7,166.3,64.4,53,2275,ohc,four,110,idi,22.5,56,34,36,7898
toyota,diesel,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,four,110,idi,22.5,56,38,47,7788
toyota,diesel,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,four,110,idi,22.5,73,30,33,10698
honda,gas,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,9,86,27,33,7895
honda,gas,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,9,86,27,33,9095
honda,gas,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,9,86,27,33,8845
honda,gas,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,9,86,27,33,10295
honda,gas,two,sedan,fwd,front,96.5,169.1,66,51,2293,ohc,four,110,2bbl,9.1,100,25,31,10345
honda,gas,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,9,101,24,28,12945
mitsubishi,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,7.5,116,23,30,9279
mitsubishi,gas,two,hatchback,fwd,front,96.3,173,65.4,49.4,2370,ohc,four,110,spdi,7.5,116,23,30,9959
mitsubishi,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,7.5,116,23,30,9279
isuzu,gas,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,8.5,78,24,29,6785
isuzu,gas,two,hatchback,rwd,front,96,172.6,65.2,51.4,2734,ohc,four,119,spfi,9.2,90,24,29,11048
peugot,gas,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,four,120,mpfi,8.4,95,19,24,16695
peugot,gas,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,8.4,95,19,24,15580
nissan,gas,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,8.5,97,27,34,9549
nissan,gas,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,8.5,97,27,34,8949
peugot,gas,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,8.4,97,19,24,11900
peugot,gas,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,8.4,97,19,24,16630
peugot,gas,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,four,120,mpfi,8.4,97,19,24,12440
saab,gas,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,four,121,mpfi,9.3,110,21,28,12170
saab,gas,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,four,121,mpfi,9.3,110,21,28,15040
saab,gas,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,four,121,mpfi,9.3,110,21,28,15510
saab,gas,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,four,121,mpfi,9.31,110,21,28,11850
saab,gas,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,four,121,mpfi,9,160,19,26,18620
saab,gas,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,four,121,mpfi,9,160,19,26,18150
mazda,diesel,,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,four,122,idi,22.7,64,36,42,10795
mazda,gas,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,8.6,84,26,32,8495
mazda,gas,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,8.6,84,26,32,10245
mazda,gas,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,8.6,84,26,32,8845
mazda,gas,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,8.6,84,26,32,11245
mazda,gas,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,8.6,84,26,32,10595
mitsubishi,gas,two,hatchback,fwd,front,96.3,173,65.4,49.4,2328,ohc,four,122,2bbl,8.5,88,25,32,8499
plymouth,gas,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,8.5,88,24,30,8921
dodge,gas,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,8.5,88,24,30,8921
mitsubishi,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,8.5,88,25,32,6989
mitsubishi,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,8.5,88,25,32,8189
toyota,gas,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,four,122,mpfi,8.7,92,29,34,8948
toyota,gas,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,four,122,mpfi,8.7,92,27,32,9988
toyota,gas,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,four,122,mpfi,8.7,92,27,32,10898
toyota,gas,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,four,122,mpfi,8.7,92,27,32,11248
alfa-romero,gas,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,9,111,21,27,16500
alfa-romero,gas,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,9,111,21,27,13495
volvo,gas,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,four,130,mpfi,7.5,162,17,22,18950
volvo,gas,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,ohc,four,130,mpfi,7.5,162,17,22,18420
audi,gas,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,8.3,140,17,20,23875
audi,gas,two,hatchback,4wd,front,99.5,178.2,67.9,52,3053,ohc,five,131,mpfi,7,160,16,22,12978
mazda,diesel,four,sedan,rwd,front,104.9,175,66.1,54.4,2700,ohc,four,134,idi,22,72,31,39,18344
peugot,gas,four,sedan,rwd,front,108,186.7,68.3,56,3130,l,four,134,mpfi,7,142,18,24,18150
audi,gas,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,8.5,110,19,25,15250
audi,gas,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,8.5,110,19,25,18920
volkswagen,gas,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,ohc,five,136,mpfi,8.5,110,19,24,13295
audi,gas,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,8.5,110,19,25,17710
audi,gas,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,8,115,18,22,17450
mazda,gas,four,sedan,rwd,front,104.9,175,66.1,54.4,2670,ohc,four,140,mpfi,8,120,19,27,18280
mercury,gas,two,hatchback,rwd,front,102.7,178.4,68,54.8,2910,ohc,four,140,mpfi,8,175,19,24,16503
volvo,gas,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,four,141,mpfi,9.5,114,19,25,22625
volvo,gas,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,four,141,mpfi,9.5,114,24,28,15985
volvo,gas,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,ohc,four,141,mpfi,9.5,114,23,28,12940
volvo,gas,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,ohc,four,141,mpfi,9.5,114,23,28,13415
volvo,gas,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,four,141,mpfi,9.5,114,23,28,16845
volvo,gas,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,four,141,mpfi,9.5,114,24,28,16515
volvo,gas,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,four,141,mpfi,8.7,160,19,25,19045
volvo,diesel,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,six,145,idi,23,106,26,27,22470
toyota,gas,two,hardtop,rwd,front,98.4,176.2,65.6,52,2536,ohc,four,146,mpfi,9.3,116,24,30,9639
toyota,gas,two,hardtop,rwd,front,98.4,176.2,65.6,52,2679,ohc,four,146,mpfi,9.3,116,24,30,11199
toyota,gas,two,hatchback,rwd,front,98.4,176.2,65.6,52,2551,ohc,four,146,mpfi,9.3,116,24,30,9989
toyota,gas,two,convertible,rwd,front,98.4,176.2,65.6,53,2975,ohc,four,146,mpfi,9.3,116,24,30,17669
toyota,gas,two,hardtop,rwd,front,98.4,176.2,65.6,52,2540,ohc,four,146,mpfi,9.3,116,24,30,8449
toyota,gas,two,hatchback,rwd,front,98.4,176.2,65.6,52,2714,ohc,four,146,mpfi,9.3,116,24,30,11549
porsche,gas,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,9.5,143,19,27,22018
peugot,diesel,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,21,95,28,33,16900
peugot,diesel,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,152,idi,21,95,28,33,13200
peugot,diesel,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,152,idi,21,95,25,25,17075
peugot,diesel,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,21,95,28,33,17950
peugot,diesel,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,four,152,idi,21,95,25,25,13860
alfa-romero,gas,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,9,154,19,26,16500
plymouth,gas,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,four,156,spdi,7,145,19,24,12764
mitsubishi,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,four,156,spdi,7,145,19,24,12629
mitsubishi,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,7,145,19,24,14489
mitsubishi,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,four,156,spdi,7,145,19,24,14869
dodge,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,7,145,19,24,12964
toyota,gas,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,dohc,six,161,mpfi,9.2,156,19,24,15750
bmw,gas,four,sedan,rwd,front,103.5,189,66.9,55.7,3055,ohc,six,164,mpfi,9,121,20,25,24565
bmw,gas,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,9,121,21,28,20970
bmw,gas,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,9,121,21,28,21105
toyota,gas,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,six,171,mpfi,9.2,156,20,24,15690
toyota,gas,two,hatchback,rwd,front,102.9,183.5,67.7,52,3016,dohc,six,171,mpfi,9.3,161,19,24,15998
toyota,gas,two,hatchback,rwd,front,102.9,183.5,67.7,52,2976,dohc,six,171,mpfi,9.3,161,20,24,16558
volvo,gas,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,ohcv,six,173,mpfi,8.8,134,18,23,21485
nissan,gas,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,9,152,19,25,13499
nissan,gas,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,9,152,17,22,14399
nissan,gas,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,9,152,17,22,13499
nissan,gas,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,9,160,19,25,18399
nissan,gas,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,9,160,19,25,17199
nissan,gas,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,7.8,200,17,23,19699
mercedes-benz,diesel,four,wagon,rwd,front,110,190.9,70.3,58.7,3750,ohc,five,183,idi,21.5,123,22,25,28248
mercedes-benz,diesel,four,sedan,rwd,front,110,190.9,70.3,56.5,3515,ohc,five,183,idi,21.5,123,22,25,25552
mercedes-benz,diesel,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,21.5,123,22,25,28176
mercedes-benz,diesel,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,21.5,123,22,25,31600
porsche,gas,two,convertible,rwd,rear,89.5,168.9,65,51.6,2800,ohcf,six,194,mpfi,9.5,207,17,25,37028
porsche,gas,two,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,six,194,mpfi,9.5,207,17,25,34028
porsche,gas,two,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,six,194,mpfi,9.5,207,17,25,32528
porsche,gas,two,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366,dohcv,eight,203,mpfi,10,288,17,28,12978
bmw,gas,four,sedan,rwd,front,103.5,189,66.9,55.7,3230,ohc,six,209,mpfi,8,182,16,22,30760
bmw,gas,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,8,182,16,22,41315
bmw,gas,four,sedan,rwd,front,110,197,70.9,56.3,3505,ohc,six,209,mpfi,8,182,15,20,36880
mercedes-benz,gas,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,8.3,155,16,18,35056
mercedes-benz,gas,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,8.3,155,16,18,34184
